id,title,overview,genres,release_date,budget,revenue,runtime,original_language,popularity,vote_average,vote_count,status,tagline,homepage,keywords,production_companies,production_countries,spoken_languages
tt5982852,Jolly LLB 2,Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,"[{""name"": ""Comedy""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2017-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt6173990,Gold,The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,"[{""name"": ""Drama""}, {""name"": ""History""}, {""name"": ""Sport""}]",2018-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0252277,Bichhoo,A contract killer with a tragic past trains a teenage girl to avenge the murder of her family and falls for her in the process.,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2000-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt10235600,Kaali Khuhi,"Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past.","[{""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Mystery""}]",2020-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0267617,Jigar,"An engaging action-sport film, where a man avenges his sister's humiliation by participating in a deadly kung-fu tournament.","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",1992-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt26541225,Aatmapamphlet,A young boy growing up amidst massive social and economic changes in 1990s India.,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",2023-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0066758,Amar Prem,A village woman abandoned by her husband is forced into prostitution in Kolkata and forms nameless yet strong relations with a wealthy patron as well as an abused boy in the neighbourhood.,"[{""name"": ""Drama""}, {""name"": ""Musical""}, {""name"": ""Romance""}]",1972-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1020937,Awarapan,"A loyal henchman is ordered by his boss to keep an eye on his mistress, and trouble begins when he refuses to kill her.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2007-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3619772,Hate Story 2,A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead.,"[{""name"": ""Drama""}, {""name"": ""Thriller""}]",2014-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt27048775,Brahmastra 2,Follows Shiva's father: Dev.,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}]",2026-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0430381,Musafir,"A small-time criminal, betrayed by his girlfriend and owing money to a fearsome crime lord, agrees to travel to Goa for a drug deal and becomes involved with a local woman and her much older husband, both of who want to kill each other.","[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2004-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt15122174,Possessed Love,"Everything was going well for the bride but her life changed completely when she decided to go out of the house on the night of Haldi, taking her grandmother's faith as superstition. She ...                See full summary »","[{""name"": ""Drama""}, {""name"": ""Horror""}, {""name"": ""Romance""}]",2021-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3595298,Prem Ratan Dhan Payo,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Musical""}]",2015-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0256951,Nadiya Ke Paar,"Chandan and Gunja, who hails from a village across the river, fall in love with each other. After her sister dies, Gunja is compelled to marry her brother-in-law who is Chandan's brother.","[{""name"": ""Drama""}, {""name"": ""Romance""}]",1982-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2358412,David,The lives of three different men named David are about to change forever.,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",2013-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3796006,Roar,"After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Sci-Fi""}]",2014-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1848771,Aarakshan,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,"[{""name"": ""Drama""}, {""name"": ""Thriller""}]",2011-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt15007122,Angithee,"Firdous is married off in a conservative house with her husband Hameed. Her old friend Shahid comes back from Punjab and they fall in love, but things change when Hameed discovers Firdous is sleeping with his friend.","[{""name"": ""Drama""}]",2021-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0361505,Dharmatma,"Wealthy, powerful and influential Seth Dharamdas leads a financially secure life in a palatial mansion. He is known to come to the aid of all people who are beyond any hope of assistance, ...                See full summary »","[{""name"": ""Action""}, {""name"": ""Romance""}, {""name"": ""Thriller""}]",1975-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt13529034,Meenakshi Sundareshwar,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage.","[{""name"": ""Comedy""}, {""name"": ""Romance""}]",2021-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt1255951,De Dana Dan,Two down on their luck men tries to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her. Things goes haywire when the dog goes missing.,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Crime""}]",2009-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt3431714,Mastram,How a clerk became an erotica writer.,"[{""name"": ""Biography""}, {""name"": ""Drama""}]",2013-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2406676,Ek Thi Daayan,"When gifted magician Bobo finds himself assailed by hallucinations and seeks professional help, he learns he's being haunted by a sinister spirit.","[{""name"": ""Horror""}, {""name"": ""Romance""}, {""name"": ""Thriller""}]",2013-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt2356426,Le Halua Le,"Love's wires are crossed in this hilarious caper; strategems and misunderstandings abound as the young protagonists struggle to navigate their way through life, land jobs, and find a place to live.","[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",2012-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt0120456,Virasat,"After completing his studies in London, England, Shakti Thakur returns home to India in a small town where his family resides. Accompanying him is his leggy girlfriend, Anita, who he is in ...                See full summary »","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Musical""}]",1997-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
tt8747548,Axone,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.","[{""name"": ""Comedy""}, {""name"": ""Drama""}]",2019-01-01,0,0,,en,0.0,0.0,0,Released,,,[],[],[],[]
